"","oldroi","category","label","newroi"
"1",1,1,"visual",1
"2",2,1,"visual",2
"3",3,1,"visual",3
"4",4,1,"visual",4
"5",5,1,"visual",5
"6",6,1,"visual",6
"7",7,1,"visual",7
"8",8,1,"visual",8
"9",9,1,"visual",9
"10",10,1,"visual",10
"11",11,1,"visual",11
"12",12,1,"visual",12
"30",30,1,"visual",13
"31",31,1,"visual",14
"101",101,1,"visual",15
"102",102,1,"visual",16
"103",103,1,"visual",17
"104",104,1,"visual",18
"105",105,1,"visual",19
"106",106,1,"visual",20
"107",107,1,"visual",21
"108",108,1,"visual",22
"109",109,1,"visual",23
"110",110,1,"visual",24
"111",111,1,"visual",25
"112",112,1,"visual",26
"133",133,1,"visual",27
"164",164,1,"visual",28
"196",196,1,"visual",29
"13",13,2,"somatomotor",30
"14",14,2,"somatomotor",31
"15",15,2,"somatomotor",32
"16",16,2,"somatomotor",33
"17",17,2,"somatomotor",34
"18",18,2,"somatomotor",35
"19",19,2,"somatomotor",36
"20",20,2,"somatomotor",37
"21",21,2,"somatomotor",38
"22",22,2,"somatomotor",39
"23",23,2,"somatomotor",40
"24",24,2,"somatomotor",41
"26",26,2,"somatomotor",42
"27",27,2,"somatomotor",43
"28",28,2,"somatomotor",44
"37",37,2,"somatomotor",45
"113",113,2,"somatomotor",46
"114",114,2,"somatomotor",47
"115",115,2,"somatomotor",48
"116",116,2,"somatomotor",49
"117",117,2,"somatomotor",50
"118",118,2,"somatomotor",51
"119",119,2,"somatomotor",52
"120",120,2,"somatomotor",53
"121",121,2,"somatomotor",54
"122",122,2,"somatomotor",55
"123",123,2,"somatomotor",56
"124",124,2,"somatomotor",57
"125",125,2,"somatomotor",58
"126",126,2,"somatomotor",59
"127",127,2,"somatomotor",60
"128",128,2,"somatomotor",61
"129",129,2,"somatomotor",62
"130",130,2,"somatomotor",63
"148",148,2,"somatomotor",64
"29",29,3,"dorsalAttention",65
"32",32,3,"dorsalAttention",66
"33",33,3,"dorsalAttention",67
"34",34,3,"dorsalAttention",68
"35",35,3,"dorsalAttention",69
"36",36,3,"dorsalAttention",70
"38",38,3,"dorsalAttention",71
"39",39,3,"dorsalAttention",72
"57",57,3,"dorsalAttention",73
"60",60,3,"dorsalAttention",74
"61",61,3,"dorsalAttention",75
"64",64,3,"dorsalAttention",76
"73",73,3,"dorsalAttention",77
"131",131,3,"dorsalAttention",78
"132",132,3,"dorsalAttention",79
"134",134,3,"dorsalAttention",80
"135",135,3,"dorsalAttention",81
"136",136,3,"dorsalAttention",82
"137",137,3,"dorsalAttention",83
"138",138,3,"dorsalAttention",84
"139",139,3,"dorsalAttention",85
"140",140,3,"dorsalAttention",86
"141",141,3,"dorsalAttention",87
"166",166,3,"dorsalAttention",88
"167",167,3,"dorsalAttention",89
"168",168,3,"dorsalAttention",90
"25",25,4,"salienceVentralAttention",91
"40",40,4,"salienceVentralAttention",92
"41",41,4,"salienceVentralAttention",93
"42",42,4,"salienceVentralAttention",94
"43",43,4,"salienceVentralAttention",95
"44",44,4,"salienceVentralAttention",96
"45",45,4,"salienceVentralAttention",97
"46",46,4,"salienceVentralAttention",98
"47",47,4,"salienceVentralAttention",99
"48",48,4,"salienceVentralAttention",100
"49",49,4,"salienceVentralAttention",101
"142",142,4,"salienceVentralAttention",102
"143",143,4,"salienceVentralAttention",103
"144",144,4,"salienceVentralAttention",104
"145",145,4,"salienceVentralAttention",105
"146",146,4,"salienceVentralAttention",106
"147",147,4,"salienceVentralAttention",107
"149",149,4,"salienceVentralAttention",108
"150",150,4,"salienceVentralAttention",109
"155",155,4,"salienceVentralAttention",110
"199",199,4,"salienceVentralAttention",111
"200",200,4,"salienceVentralAttention",112
"51",51,5,"limbic",113
"52",52,5,"limbic",114
"53",53,5,"limbic",115
"54",54,5,"limbic",116
"55",55,5,"limbic",117
"56",56,5,"limbic",118
"157",157,5,"limbic",119
"158",158,5,"limbic",120
"160",160,5,"limbic",121
"161",161,5,"limbic",122
"162",162,5,"limbic",123
"163",163,5,"limbic",124
"58",58,6,"frontoparietalControl",125
"59",59,6,"frontoparietalControl",126
"62",62,6,"frontoparietalControl",127
"63",63,6,"frontoparietalControl",128
"65",65,6,"frontoparietalControl",129
"66",66,6,"frontoparietalControl",130
"67",67,6,"frontoparietalControl",131
"68",68,6,"frontoparietalControl",132
"70",70,6,"frontoparietalControl",133
"71",71,6,"frontoparietalControl",134
"72",72,6,"frontoparietalControl",135
"74",74,6,"frontoparietalControl",136
"93",93,6,"frontoparietalControl",137
"151",151,6,"frontoparietalControl",138
"152",152,6,"frontoparietalControl",139
"153",153,6,"frontoparietalControl",140
"154",154,6,"frontoparietalControl",141
"156",156,6,"frontoparietalControl",142
"165",165,6,"frontoparietalControl",143
"169",169,6,"frontoparietalControl",144
"170",170,6,"frontoparietalControl",145
"172",172,6,"frontoparietalControl",146
"174",174,6,"frontoparietalControl",147
"175",175,6,"frontoparietalControl",148
"176",176,6,"frontoparietalControl",149
"177",177,6,"frontoparietalControl",150
"178",178,6,"frontoparietalControl",151
"179",179,6,"frontoparietalControl",152
"181",181,6,"frontoparietalControl",153
"183",183,6,"frontoparietalControl",154
"50",50,7,"default",155
"69",69,7,"default",156
"75",75,7,"default",157
"76",76,7,"default",158
"77",77,7,"default",159
"78",78,7,"default",160
"79",79,7,"default",161
"80",80,7,"default",162
"81",81,7,"default",163
"82",82,7,"default",164
"83",83,7,"default",165
"84",84,7,"default",166
"85",85,7,"default",167
"86",86,7,"default",168
"87",87,7,"default",169
"88",88,7,"default",170
"89",89,7,"default",171
"90",90,7,"default",172
"91",91,7,"default",173
"92",92,7,"default",174
"94",94,7,"default",175
"95",95,7,"default",176
"96",96,7,"default",177
"97",97,7,"default",178
"98",98,7,"default",179
"99",99,7,"default",180
"100",100,7,"default",181
"159",159,7,"default",182
"171",171,7,"default",183
"173",173,7,"default",184
"180",180,7,"default",185
"182",182,7,"default",186
"184",184,7,"default",187
"185",185,7,"default",188
"186",186,7,"default",189
"187",187,7,"default",190
"188",188,7,"default",191
"189",189,7,"default",192
"190",190,7,"default",193
"191",191,7,"default",194
"192",192,7,"default",195
"193",193,7,"default",196
"194",194,7,"default",197
"195",195,7,"default",198
"197",197,7,"default",199
"198",198,7,"default",200
